id,x,y,cell_type
838769,8130.0,6849.0,DC
838770,4101.0,940.0,DC
838771,7080.0,6393.0,DC
838772,593.0,7577.0,DC
838773,3312.0,7211.0,DC
838774,6350.0,6359.0,DC
838775,7896.0,570.0,DC
838776,81.0,1641.0,DC
838777,5118.0,6377.0,DC
838778,3781.0,7369.0,DC
838779,7511.0,5520.0,DC
838780,137.0,5693.0,DC
838781,8263.0,6427.0,DC
838782,8354.0,6908.0,DC
838783,4713.0,5270.0,DC
838784,5890.0,6798.0,DC
838785,4356.0,5899.0,DC
838786,8566.0,995.0,DC
838787,5080.0,1737.0,DC
838788,2964.0,8962.0,M2 Macrophage
838789,8264.0,5637.0,Stroma
838790,5768.0,7002.0,Stroma
838791,8694.0,1849.0,Plasma
838792,7157.0,567.0,CD4+ T cell
838793,5257.0,8645.0,M2 Macrophage
838794,2531.0,2579.0,M2 Macrophage
838795,56.0,3056.0,Stroma
838796,6300.0,8438.0,M2 Macrophage
838797,9135.0,8710.0,M1 Macrophage
838798,3850.0,6232.0,Stroma
838799,8134.0,5805.0,Stroma
838800,6993.0,8044.0,M2 Macrophage
838801,7727.0,8201.0,M2 Macrophage
838802,322.0,6165.0,CD4+ T cell
838803,2444.0,1939.0,M1 Macrophage
838804,801.0,7844.0,CD4+ T cell
838805,1069.0,677.0,CD4+ T cell
838806,1760.0,7162.0,Plasma
838807,4307.0,6603.0,M1 Macrophage
838808,46.0,2547.0,Plasma
838809,1784.0,7214.0,CD4+ T cell
838810,6958.0,2304.0,Stroma
838811,4836.0,1197.0,Plasma
838812,6906.0,585.0,Stroma
838813,9396.0,1604.0,Plasma
838814,4345.0,7118.0,Plasma
838815,7421.0,1010.0,CD4+ T cell
838816,4797.0,6743.0,Stroma
838817,2587.0,4924.0,M1 Macrophage
838818,3443.0,5283.0,Stroma
838819,8595.0,6214.0,CD4+ T cell
838820,4956.0,1456.0,Plasma
838821,6187.0,5898.0,Stroma
838822,1825.0,7451.0,CD4+ T cell
838823,3664.0,6370.0,Stroma
838824,6591.0,6692.0,Stroma
838825,5670.0,1851.0,Stroma
838826,275.0,2787.0,M1 Macrophage
838827,4891.0,4511.0,Plasma
838828,3193.0,1448.0,Stroma
838829,1341.0,8419.0,M2 Macrophage
838830,8552.0,6443.0,M1 Macrophage
838831,515.0,7297.0,Plasma
838832,669.0,7276.0,M2 Macrophage
838833,3141.0,5078.0,M1 Macrophage
838834,6112.0,4118.0,CD4+ T cell
838835,2251.0,7738.0,Stroma
838836,2545.0,4948.0,M1 Macrophage
838837,5506.0,1839.0,M1 Macrophage
838838,6665.0,5767.0,Stroma
838839,7891.0,7655.0,M2 Macrophage
838840,5155.0,5076.0,M1 Macrophage
838841,2918.0,3324.0,M2 Macrophage
838842,4485.0,4399.0,M1 Macrophage
838843,1803.0,7114.0,CD4+ T cell
838844,2558.0,2634.0,M1 Macrophage
838845,1627.0,7298.0,CD4+ T cell
838846,1478.0,2078.0,Stroma
838847,5574.0,1760.0,M1 Macrophage
838848,1704.0,6802.0,M1 Macrophage
838849,6267.0,3229.0,M1 Macrophage
838850,3326.0,2893.0,Stroma
838851,5830.0,4166.0,CD4+ T cell
838852,2159.0,2518.0,Plasma
838853,4983.0,3518.0,M2 Macrophage
838854,1728.0,7243.0,M1 Macrophage
838855,5749.0,2344.0,CD4+ T cell
838856,4722.0,9004.0,M2 Macrophage
838857,1440.0,1398.0,CD4+ T cell
838858,8061.0,1862.0,Plasma
838859,7425.0,1784.0,M1 Macrophage
838860,9166.0,6251.0,Stroma
838861,4674.0,5033.0,Plasma
838862,9385.0,2275.0,CD4+ T cell
838863,9225.0,8327.0,M2 Macrophage
838864,3428.0,1972.0,Plasma
838865,7814.0,5424.0,Stroma
838866,5622.0,1057.0,Plasma
838867,7677.0,254.0,M2 Macrophage
838868,4529.0,6530.0,Stroma
838869,5328.0,1378.0,Plasma
838870,2811.0,8104.0,M2 Macrophage
838871,1888.0,7215.0,CD4+ T cell
838872,3978.0,6801.0,Stroma
838873,3558.0,5824.0,Stroma
838874,7144.0,5196.0,Plasma
838875,2725.0,5289.0,CD4+ T cell
838876,5648.0,765.0,Stroma
838877,8022.0,1110.0,CD4+ T cell
838878,4156.0,7301.0,M1 Macrophage
838879,3641.0,2396.0,M2 Macrophage
838880,6078.0,5906.0,Stroma
838881,2031.0,7335.0,CD4+ T cell
838882,5955.0,8466.0,M2 Macrophage
838883,3380.0,8531.0,M2 Macrophage
838884,3881.0,1606.0,Plasma
838885,5836.0,4526.0,M1 Macrophage
838886,1271.0,2566.0,M1 Macrophage
838887,8079.0,866.0,Stroma
838888,1550.0,4969.0,Stroma
838889,1638.0,7116.0,Plasma
838890,1576.0,1554.0,CD4+ T cell
838891,9235.0,6237.0,Plasma
838892,1717.0,1326.0,M2 Macrophage
838893,606.0,2447.0,CD4+ T cell
838894,6888.0,7179.0,M2 Macrophage
838895,5642.0,191.0,M1 Macrophage
838896,6085.0,4184.0,Stroma
838897,239.0,6144.0,Stroma
838898,3700.0,5727.0,Plasma
838899,1161.0,2110.0,Plasma
838900,7319.0,7344.0,Stroma
838901,5763.0,2068.0,M1 Macrophage
838902,1374.0,7566.0,Stroma
838903,3403.0,6046.0,Plasma
838904,2336.0,1818.0,Stroma
838905,1765.0,2525.0,Stroma
838906,123.0,5765.0,Stroma
