id,x,y,cell_type
1729773,5174.0,2867.0,DC
1729774,6298.0,1219.0,DC
1729775,8101.0,6195.0,DC
1729776,7183.0,740.0,DC
1729777,2026.0,4750.0,DC
1729778,4992.0,3436.0,DC
1729779,528.0,3149.0,DC
1729780,7712.0,900.0,DC
1729781,2849.0,3294.0,DC
1729782,8471.0,6519.0,Stroma
1729783,3803.0,4899.0,CD4+ T cell
1729784,449.0,3213.0,Plasma
1729785,5567.0,1015.0,M1 Macrophage
1729786,5818.0,3740.0,M2 Macrophage
1729787,7859.0,2231.0,M1 Macrophage
1729788,4922.0,3700.0,B
1729789,8138.0,6271.0,CD4+ T cell
1729790,638.0,7364.0,M2 Macrophage
1729791,1700.0,4150.0,CD4+ T cell
1729792,4085.0,4777.0,M1 Macrophage
1729793,3152.0,2879.0,M1 Macrophage
1729794,8159.0,4562.0,CD4+ T cell
1729795,8515.0,5504.0,CD4+ T cell
1729796,5543.0,2645.0,CD4+ T cell
1729797,6144.0,1050.0,Stroma
1729798,179.0,4426.0,Stroma
1729799,8591.0,6684.0,CD4+ T cell
1729800,2115.0,3602.0,Stroma
1729801,5460.0,7345.0,M2 Macrophage
1729802,3916.0,4755.0,Plasma
1729803,4451.0,4243.0,M1 Macrophage
1729804,4181.0,1852.0,Stroma
1729805,2083.0,1409.0,M1 Macrophage
1729806,3530.0,5047.0,CD4+ T cell
1729807,600.0,2012.0,Stroma
1729808,8531.0,4140.0,Plasma
1729809,4981.0,4177.0,CD4+ T cell
1729810,176.0,4157.0,CD4+ T cell
1729811,711.0,4515.0,M1 Macrophage
1729812,881.0,2617.0,M2 Macrophage
1729813,8494.0,6748.0,Stroma
1729814,7078.0,328.0,Plasma
1729815,4118.0,1161.0,Plasma
1729816,3074.0,1228.0,M1 Macrophage
1729817,8729.0,5483.0,Plasma
1729818,4102.0,1014.0,Stroma
1729819,4279.0,3516.0,M2 Macrophage
1729820,518.0,4074.0,M2 Macrophage
1729821,4143.0,1723.0,M1 Macrophage
1729822,4551.0,3868.0,CD4+ T cell
1729823,7331.0,8796.0,Stroma
1729824,3395.0,1486.0,M1 Macrophage
1729825,2586.0,2696.0,M2 Macrophage
1729826,8744.0,5140.0,Plasma
1729827,4887.0,4155.0,M1 Macrophage
1729828,1376.0,1833.0,M1 Macrophage
1729829,5238.0,1204.0,Stroma
1729830,4816.0,689.0,Stroma
1729831,1540.0,3568.0,Stroma
1729832,8429.0,5278.0,M1 Macrophage
1729833,1692.0,1708.0,M2 Macrophage
1729834,5363.0,4231.0,CD4+ T cell
1729835,7874.0,1027.0,Stroma
1729836,8805.0,5954.0,Plasma
1729837,4751.0,3547.0,M1 Macrophage
1729838,1264.0,3607.0,Plasma
1729839,5201.0,4220.0,B
1729840,4986.0,2526.0,CD4+ T cell
1729841,3942.0,4378.0,Stroma
1729842,9292.0,2715.0,CD4+ T cell
1729843,4122.0,3774.0,CD4+ T cell
1729844,8477.0,6669.0,M1 Macrophage
1729845,2687.0,1813.0,CD4+ T cell
1729846,4698.0,4581.0,CD4+ T cell
1729847,7051.0,458.0,M1 Macrophage
1729848,1786.0,4978.0,M2 Macrophage
1729849,7922.0,1223.0,M1 Macrophage
1729850,8953.0,4701.0,M1 Macrophage
1729851,8740.0,6010.0,Stroma
1729852,6860.0,903.0,CD4+ T cell
1729853,9004.0,5965.0,M1 Macrophage
1729854,3937.0,4316.0,CD4+ T cell
1729855,8892.0,5866.0,CD4+ T cell
1729856,3900.0,1496.0,Stroma
1729857,3770.0,1626.0,CD4+ T cell
1729858,6947.0,815.0,CD4+ T cell
1729859,5221.0,4163.0,Stroma
1729860,3895.0,5331.0,M2 Macrophage
1729861,3746.0,4310.0,Stroma
1729862,6.0,3757.0,M1 Macrophage
1729863,890.0,8735.0,M2 Macrophage
1729864,4377.0,1401.0,CD4+ T cell
1729865,1587.0,3538.0,Plasma
1729866,608.0,4099.0,M2 Macrophage
1729867,4362.0,2363.0,CD4+ T cell
1729868,2005.0,1707.0,M1 Macrophage
1729869,8442.0,5450.0,Plasma
1729870,1782.0,3996.0,CD4+ T cell
