id,x,y,cell_type
2329585,3613.0,1784.0,DC
2329586,6820.0,715.0,DC
2329587,5569.0,2273.0,CD4+ T cell
2329588,5173.0,7294.0,M1 Macrophage
2329589,5772.0,8428.0,M1 Macrophage
2329590,5810.0,1516.0,M1 Macrophage
2329591,3400.0,2434.0,Plasma
2329592,4171.0,2944.0,CD4+ T cell
2329593,5844.0,1504.0,M1 Macrophage
2329594,8989.0,1340.0,CD4+ T cell
2329595,3921.0,6523.0,M1 Macrophage
2329596,4604.0,1877.0,Plasma
2329597,6011.0,5778.0,M1 Macrophage
2329598,7834.0,1718.0,Plasma
2329599,6579.0,604.0,M1 Macrophage
2329600,5753.0,2359.0,CD4+ T cell
2329601,5347.0,2274.0,M1 Macrophage
2329602,3647.0,4641.0,M1 Macrophage
2329603,745.0,3268.0,Stroma
2329604,2074.0,3727.0,CD4+ T cell
2329605,4875.0,848.0,M1 Macrophage
2329606,5558.0,1108.0,Stroma
2329607,4441.0,2707.0,B
2329608,1835.0,4347.0,Plasma
2329609,7817.0,9062.0,M1 Macrophage
2329610,3107.0,3147.0,Stroma
2329611,7282.0,8559.0,Plasma
2329612,6513.0,8432.0,M1 Macrophage
2329613,7946.0,628.0,M1 Macrophage
2329614,8975.0,9050.0,Smooth muscle
2329615,7978.0,8758.0,Smooth muscle
2329616,9370.0,2942.0,Smooth muscle
2329617,821.0,8999.0,Smooth muscle
2329618,5984.0,8130.0,Smooth muscle
2329619,5577.0,2392.0,Stroma
2329620,1274.0,8632.0,Smooth muscle
2329621,1618.0,4544.0,Stroma
2329622,3219.0,4130.0,Stroma
2329623,3251.0,7073.0,Stroma
2329624,7973.0,604.0,Smooth muscle
2329625,210.0,5647.0,Stroma
2329626,2237.0,8267.0,Smooth muscle
2329627,5486.0,6342.0,Stroma
2329628,3235.0,4096.0,Stroma
2329629,1577.0,4717.0,Smooth muscle
2329630,4476.0,3539.0,Smooth muscle
2329631,678.0,4664.0,Stroma
2329632,1414.0,8301.0,Smooth muscle
2329633,595.0,4674.0,Stroma
2329634,2806.0,4460.0,Stroma
2329635,1527.0,8748.0,Smooth muscle
2329636,651.0,4654.0,Stroma
2329637,288.0,4873.0,Smooth muscle
2329638,6405.0,2506.0,Stroma
2329639,459.0,8247.0,Smooth muscle
2329640,1436.0,5333.0,DC
2329641,6034.0,1738.0,NK
2329642,8766.0,1315.0,DC
2329643,8347.0,2153.0,DC
2329644,1866.0,7743.0,DC
2329645,8086.0,7901.0,DC
2329646,6687.0,2783.0,DC
2329647,2492.0,7814.0,Nerve
2329648,7715.0,2250.0,Stroma
2329649,7463.0,3480.0,Stroma
2329650,85.0,8482.0,Nerve
2329651,7478.0,2074.0,Stroma
2329652,1329.0,8836.0,Nerve
2329653,28.0,8529.0,Nerve
2329654,2574.0,8408.0,Lymphatic
