id,x,y,cell_type
2580826,935.0,4987.0,Plasma
2580827,6751.0,2831.0,M1 Macrophage
2580828,2711.0,6882.0,CD4+ T cell
2580829,713.0,5490.0,Stroma
2580830,1132.0,4640.0,CD4+ T cell
2580831,1463.0,5888.0,CD4+ T cell
2580832,3902.0,7623.0,M2 Macrophage
2580833,595.0,4611.0,M1 Macrophage
2580834,5291.0,1419.0,M2 Macrophage
2580835,5369.0,1442.0,Stroma
2580836,3600.0,5876.0,Stroma
2580837,3181.0,2653.0,Smooth muscle
2580838,4832.0,3193.0,Smooth muscle
2580839,3436.0,2219.0,Stroma
2580840,2787.0,2839.0,Smooth muscle
2580841,1576.0,6086.0,DC
2580842,2105.0,6591.0,DC
2580843,3047.0,7524.0,DC
2580844,8999.0,5043.0,DC
2580845,8130.0,4436.0,Lymphatic
2580846,5874.0,5011.0,Stroma
2580847,5853.0,4896.0,Stroma
2580848,5395.0,7683.0,Stroma
2580849,5164.0,8076.0,Stroma
2580850,5198.0,8080.0,Stroma
2580851,7768.0,7187.0,Lymphatic
2580852,3664.0,2339.0,Nerve
2580853,6219.0,5007.0,Stroma
2580854,5853.0,4962.0,Stroma
2580855,6199.0,4987.0,Stroma
2580856,4527.0,7010.0,Lymphatic
2580857,5664.0,4547.0,Stroma
2580858,3816.0,5587.0,Nerve
2580859,6224.0,1792.0,Nerve
2580860,3485.0,6321.0,Stroma
2580861,6236.0,5037.0,Stroma
2580862,8398.0,6717.0,Stroma
2580863,5174.0,7931.0,Stroma
2580864,2696.0,6644.0,Stroma
2580865,2685.0,6451.0,Stroma
2580866,5218.0,8076.0,Stroma
2580867,6208.0,7939.0,Stroma
2580868,6698.0,5219.0,ICC
2580869,3902.0,8086.0,Nerve
2580870,5674.0,568.0,Stroma
2580871,5938.0,4891.0,Stroma
2580872,4430.0,6944.0,Lymphatic
2580873,5882.0,4856.0,Stroma
2580874,5732.0,7887.0,Stroma
2580875,5855.0,4937.0,Stroma
2580876,5875.0,4969.0,Stroma
2580877,5874.0,7811.0,Stroma
2580878,5696.0,612.0,Stroma
2580879,8086.0,5931.0,Stroma
2580880,6189.0,8067.0,Nerve
2580881,2759.0,1994.0,Stroma
2580882,6231.0,5056.0,Stroma
2580883,6225.0,4991.0,Stroma
2580884,5526.0,7716.0,Lymphatic
2580885,4528.0,7348.0,Stroma
2580886,4299.0,6296.0,Stroma
2580887,9181.0,5180.0,Stroma
2580888,5771.0,758.0,Stroma
2580889,9236.0,6802.0,Stroma
2580890,6174.0,7753.0,Nerve
2580891,4835.0,3942.0,Nerve
2580892,3800.0,6584.0,Stroma
2580893,8692.0,6801.0,Lymphatic
2580894,8663.0,5204.0,Stroma
2580895,4864.0,7762.0,Lymphatic
2580896,6181.0,4976.0,Stroma
2580897,9198.0,5073.0,Stroma
2580898,2655.0,2326.0,Stroma
2580899,4132.0,6980.0,Stroma
2580900,4482.0,7047.0,Stroma
2580901,8272.0,6998.0,Stroma
2580902,4815.0,7663.0,Stroma
2580903,5119.0,5786.0,Stroma
2580904,8888.0,6510.0,Nerve
2580905,5859.0,7815.0,Stroma
2580906,3953.0,5894.0,Stroma
2580907,8121.0,4775.0,Stroma
2580908,6199.0,5092.0,Stroma
2580909,2709.0,7640.0,Stroma
2580910,2375.0,6466.0,Stroma
2580911,2349.0,4507.0,Stroma
2580912,5957.0,4930.0,Stroma
2580913,2443.0,6354.0,Stroma
2580914,6082.0,4279.0,Stroma
2580915,4274.0,4375.0,Stroma
2580916,4585.0,1562.0,Stroma
2580917,4224.0,4422.0,Stroma
2580918,4626.0,7156.0,Stroma
2580919,5112.0,7947.0,Nerve
2580920,6507.0,7759.0,Nerve
2580921,4748.0,7645.0,Stroma
2580922,3053.0,2157.0,Stroma
2580923,5297.0,5163.0,Stroma
2580924,885.0,4383.0,Stroma
2580925,1768.0,4634.0,Stroma
2580926,2421.0,6535.0,Stroma
2580927,5348.0,1363.0,Nerve
2580928,6160.0,5085.0,Stroma
2580929,7103.0,2071.0,Stroma
2580930,6064.0,7677.0,Nerve
2580931,4412.0,4327.0,ICC
2580932,5584.0,786.0,Nerve
2580933,4639.0,7087.0,Stroma
2580934,4484.0,7085.0,Lymphatic
2580935,4972.0,1448.0,Nerve
2580936,2204.0,2696.0,Stroma
2580937,2787.0,6647.0,Stroma
2580938,4260.0,6922.0,Stroma
2580939,4711.0,7673.0,Lymphatic
2580940,5132.0,5852.0,Lymphatic
2580941,1515.0,3949.0,Stroma
2580942,6175.0,7814.0,Nerve
2580943,4378.0,4342.0,Stroma
2580944,4613.0,3099.0,Nerve
2580945,4868.0,7740.0,Stroma
2580946,1301.0,6168.0,Cycling TA
2580947,5796.0,8148.0,Stroma
2580948,752.0,5237.0,Cycling TA
2580949,962.0,4900.0,Cycling TA
2580950,1015.0,5428.0,Cycling TA
2580951,1464.0,6001.0,Cycling TA
2580952,6191.0,8247.0,Stroma
2580953,3261.0,7187.0,Cycling TA
2580954,1468.0,6178.0,Stroma
2580955,1740.0,6638.0,Stroma
2580956,983.0,4902.0,Cycling TA
2580957,4576.0,7828.0,Cycling TA
2580958,2693.0,7011.0,Cycling TA
2580959,2298.0,6883.0,Cycling TA
2580960,770.0,5257.0,Cycling TA
2580961,2738.0,7170.0,Cycling TA
2580962,1188.0,5681.0,Stroma
2580963,5629.0,8007.0,Stroma
2580964,2636.0,7205.0,Cycling TA
2580965,1448.0,6034.0,Stroma
2580966,4882.0,7775.0,Cycling TA
2580967,1152.0,6209.0,Stroma
2580968,1236.0,6159.0,Stroma
2580969,2514.0,6905.0,M1 Macrophage
2580970,3582.0,7615.0,Cycling TA
2580971,1337.0,1887.0,Stroma
2580972,2496.0,6824.0,Cycling TA
2580973,3043.0,7457.0,Stroma
2580974,4855.0,7773.0,Cycling TA
2580975,4163.0,8202.0,Cycling TA
2580976,711.0,4522.0,Cycling TA
2580977,2761.0,7218.0,Cycling TA
2580978,873.0,5339.0,Cycling TA
2580979,943.0,6251.0,Cycling TA
2580980,2361.0,6733.0,Cycling TA
2580981,1289.0,2569.0,Cycling TA
2580982,1664.0,2306.0,Stroma
2580983,8738.0,3174.0,Stroma
2580984,4756.0,4865.0,Stroma
2580985,7408.0,7453.0,Stroma
2580986,2578.0,5900.0,Stroma
2580987,3428.0,8060.0,Stroma
2580988,2241.0,3029.0,Stroma
2580989,462.0,4790.0,CD66+ Enterocyte
2580990,8803.0,6918.0,Stroma
2580991,5178.0,7909.0,Stroma
2580992,2195.0,2833.0,Stroma
2580993,2074.0,3065.0,Stroma
2580994,7401.0,5830.0,Stroma
2580995,6037.0,5919.0,Stroma
2580996,4717.0,8010.0,Stroma
2580997,1854.0,6428.0,Stroma
2580998,7527.0,4138.0,Stroma
2580999,6895.0,347.0,Stroma
2581000,5579.0,7572.0,Stroma
2581001,4371.0,3406.0,Stroma
2581002,6634.0,2299.0,Stroma
2581003,5739.0,1440.0,Stroma
2581004,5484.0,1724.0,Stroma
2581005,5172.0,1014.0,Stroma
2581006,3190.0,6832.0,Stroma
2581007,3377.0,4536.0,Stroma
2581008,5239.0,1657.0,Stroma
2581009,1874.0,3110.0,Stroma
2581010,7092.0,2743.0,Stroma
2581011,8873.0,6887.0,Stroma
2581012,1345.0,6109.0,Stroma
2581013,5041.0,4626.0,Stroma
2581014,6222.0,4111.0,Stroma
2581015,1825.0,6534.0,Stroma
2581016,1804.0,6403.0,Enterocyte
2581017,7472.0,3174.0,Stroma
2581018,6133.0,3283.0,Stroma
2581019,8309.0,4207.0,Stroma
2581020,7482.0,1654.0,Stroma
2581021,875.0,5845.0,Enterocyte
2581022,3039.0,7557.0,Enterocyte
2581023,7055.0,4372.0,Stroma
2581024,4071.0,3833.0,Stroma
2581025,2072.0,5711.0,Stroma
2581026,5315.0,3301.0,Stroma
2581027,7120.0,138.0,Stroma
2581028,6232.0,6861.0,Stroma
2581029,1808.0,6511.0,Stroma
2581030,4055.0,3096.0,Stroma
2581031,5911.0,220.0,Stroma
2581032,1840.0,5055.0,Stroma
2581033,6938.0,957.0,Stroma
2581034,7634.0,1607.0,Stroma
2581035,558.0,4553.0,Enterocyte
2581036,1071.0,6431.0,Enterocyte
2581037,1714.0,6232.0,Enterocyte
2581038,7945.0,1403.0,Stroma
2581039,4500.0,2494.0,Stroma
2581040,4814.0,2982.0,Stroma
2581041,3892.0,3554.0,Stroma
2581042,4461.0,3007.0,Stroma
2581043,4734.0,3815.0,Stroma
2581044,1635.0,5480.0,Stroma
2581045,7831.0,2354.0,Stroma
2581046,5287.0,1831.0,Stroma
2581047,2220.0,7329.0,Enterocyte
2581048,5900.0,2513.0,Stroma
2581049,8031.0,2061.0,Stroma
2581050,6547.0,2206.0,Stroma
2581051,5132.0,2329.0,Stroma
2581052,3143.0,7800.0,Enterocyte
2581053,3020.0,7535.0,Enterocyte
2581054,6791.0,6037.0,Stroma
2581055,1071.0,5602.0,Stroma
2581056,1794.0,6445.0,Stroma
2581057,6988.0,1008.0,Stroma
2581058,6665.0,2233.0,Stroma
2581059,8929.0,6858.0,Stroma
2581060,841.0,5432.0,Stroma
2581061,8144.0,2743.0,Stroma
2581062,3243.0,7546.0,Enterocyte
2581063,7873.0,2326.0,Stroma
2581064,1113.0,5637.0,Stroma
2581065,5469.0,3608.0,Stroma
2581066,1718.0,6253.0,Stroma
2581067,5126.0,705.0,Stroma
2581068,6717.0,519.0,Stroma
2581069,3775.0,2825.0,Stroma
2581070,1286.0,6811.0,Stroma
2581071,5921.0,7275.0,Stroma
2581072,790.0,5733.0,Enterocyte
2581073,5742.0,3273.0,Stroma
2581074,6971.0,1474.0,Stroma
2581075,1559.0,6076.0,Stroma
2581076,6102.0,1563.0,Stroma
2581077,5852.0,7834.0,Stroma
2581078,6494.0,3034.0,Stroma
2581079,6175.0,1888.0,Stroma
2581080,1763.0,6466.0,Enterocyte
2581081,1628.0,3262.0,Stroma
2581082,4325.0,1822.0,Stroma
2581083,1662.0,6432.0,Enterocyte
2581084,4521.0,1985.0,Stroma
2581085,4395.0,7440.0,Stroma
2581086,6338.0,2046.0,Stroma
2581087,3141.0,5818.0,Stroma
2581088,8865.0,2053.0,Stroma
2581089,7936.0,1740.0,Stroma
2581090,4284.0,2010.0,Stroma
2581091,1592.0,6490.0,Stroma
2581092,1629.0,2116.0,Enterocyte
2581093,4122.0,8059.0,Enterocyte
2581094,7210.0,7560.0,Stroma
2581095,5070.0,2285.0,Stroma
2581096,5917.0,3861.0,Stroma
2581097,6645.0,789.0,Stroma
2581098,5919.0,2405.0,Stroma
2581099,7901.0,2337.0,Stroma
2581100,8052.0,2853.0,Stroma
2581101,1819.0,6468.0,Stroma
2581102,6276.0,3340.0,Stroma
2581103,8031.0,2145.0,Stroma
2581104,5782.0,1478.0,Stroma
2581105,7457.0,1045.0,Stroma
2581106,1671.0,6400.0,Stroma
2581107,3338.0,2755.0,Stroma
2581108,7908.0,2319.0,Stroma
2581109,6314.0,2053.0,Stroma
2581110,5662.0,2584.0,Stroma
2581111,5534.0,3479.0,Stroma
2581112,9125.0,5349.0,Stroma
2581113,555.0,5550.0,Enterocyte
2581114,4281.0,3420.0,Stroma
2581115,6500.0,4014.0,Stroma
2581116,6045.0,1476.0,Stroma
2581117,9121.0,5298.0,Stroma
2581118,696.0,4979.0,Enterocyte
2581119,7720.0,1493.0,Stroma
2581120,1803.0,6429.0,Stroma
2581121,6647.0,1793.0,Stroma
2581122,4331.0,1768.0,Stroma
2581123,6117.0,1557.0,Stroma
2581124,2601.0,3351.0,Stroma
2581125,1617.0,6420.0,Stroma
2581126,6368.0,3659.0,Stroma
2581127,2020.0,5299.0,Stroma
2581128,1187.0,6435.0,Stroma
2581129,3752.0,7998.0,Stroma
2581130,5253.0,4609.0,Stroma
2581131,4496.0,2211.0,Stroma
2581132,7102.0,5959.0,Stroma
2581133,5603.0,1022.0,Stroma
2581134,4844.0,2874.0,Stroma
2581135,3019.0,4692.0,Stroma
2581136,7941.0,2342.0,Stroma
2581137,3718.0,4000.0,Stroma
2581138,6654.0,800.0,Stroma
2581139,3042.0,4659.0,Stroma
2581140,4258.0,2475.0,Stroma
2581141,5167.0,2439.0,Stroma
2581142,7945.0,1727.0,Stroma
2581143,5923.0,320.0,Stroma
2581144,5769.0,1602.0,Stroma
2581145,3891.0,8082.0,Enterocyte
2581146,8239.0,566.0,Stroma
2581147,5761.0,2420.0,Stroma
2581148,2021.0,5030.0,Stroma
2581149,1854.0,7142.0,Enterocyte
2581150,3518.0,1564.0,Stroma
2581151,1111.0,4904.0,Enterocyte
2581152,6633.0,2735.0,Stroma
2581153,5019.0,3692.0,Stroma
2581154,518.0,5389.0,Enterocyte
2581155,4533.0,1978.0,Stroma
2581156,1473.0,6636.0,Enterocyte
2581157,6914.0,242.0,Stroma
2581158,8682.0,4530.0,Stroma
2581159,1275.0,6553.0,Enterocyte
2581160,517.0,4785.0,Enterocyte
2581161,3330.0,4178.0,Stroma
2581162,4648.0,3608.0,Stroma
2581163,4135.0,7646.0,Stroma
2581164,6918.0,373.0,Stroma
2581165,3612.0,6516.0,Stroma
2581166,5625.0,1512.0,Stroma
2581167,6411.0,807.0,Stroma
2581168,1085.0,6473.0,Enterocyte
2581169,649.0,4372.0,Enterocyte
2581170,3870.0,3097.0,Stroma
2581171,9100.0,5182.0,Enterocyte
2581172,5728.0,3276.0,Stroma
2581173,7279.0,1723.0,Stroma
2581174,3448.0,2345.0,Stroma
2581175,7622.0,2584.0,Stroma
2581176,7578.0,2206.0,Stroma
2581177,1993.0,5311.0,Stroma
2581178,7604.0,895.0,Stroma
2581179,7210.0,3579.0,Stroma
2581180,1604.0,6438.0,Stroma
2581181,6053.0,2335.0,Stroma
2581182,6642.0,2238.0,Stroma
2581183,3687.0,3249.0,Stroma
2581184,2991.0,7667.0,Enterocyte
2581185,7127.0,773.0,Stroma
2581186,5230.0,3405.0,Stroma
2581187,5018.0,2472.0,Stroma
2581188,4766.0,587.0,Stroma
2581189,5015.0,3355.0,Stroma
2581190,5741.0,1695.0,Stroma
2581191,614.0,5692.0,Enterocyte
2581192,1961.0,5000.0,Stroma
2581193,6284.0,1561.0,Stroma
2581194,6287.0,3460.0,Stroma
2581195,1693.0,6297.0,Enterocyte
2581196,7024.0,665.0,Stroma
2581197,6494.0,665.0,Stroma
2581198,5924.0,2920.0,Stroma
2581199,576.0,4575.0,Stroma
2581200,3786.0,7811.0,Enterocyte
2581201,7919.0,7159.0,Stroma
2581202,6713.0,169.0,Stroma
2581203,8799.0,2022.0,Stroma
2581204,6616.0,3169.0,Stroma
2581205,7899.0,2351.0,Stroma
2581206,4131.0,2743.0,Stroma
2581207,2573.0,7578.0,Enterocyte
2581208,1550.0,6551.0,Enterocyte
2581209,6540.0,2705.0,Stroma
2581210,5060.0,3464.0,Stroma
2581211,4859.0,3782.0,Stroma
2581212,5716.0,1735.0,Stroma
2581213,3393.0,5466.0,Stroma
2581214,5186.0,4673.0,Stroma
2581215,2515.0,7500.0,Stroma
2581216,1826.0,7188.0,Enterocyte
2581217,4745.0,4907.0,Stroma
2581218,5887.0,226.0,Stroma
2581219,5285.0,8065.0,Stroma
2581220,1587.0,6535.0,Enterocyte
2581221,4243.0,1193.0,Stroma
2581222,551.0,4563.0,Stroma
2581223,4722.0,2114.0,Stroma
2581224,4699.0,2051.0,Stroma
2581225,3907.0,8055.0,Enterocyte
2581226,2537.0,7575.0,Enterocyte
2581227,1098.0,6472.0,Enterocyte
2581228,473.0,4809.0,Enterocyte
2581229,4822.0,2964.0,Stroma
2581230,1090.0,6488.0,Stroma
2581231,5956.0,2653.0,Stroma
2581232,5387.0,2000.0,Stroma
2581233,3819.0,3130.0,Stroma
2581234,7531.0,2347.0,Stroma
2581235,3759.0,7813.0,Enterocyte
2581236,4137.0,8182.0,Enterocyte
2581237,3423.0,1631.0,Stroma
2581238,1876.0,7148.0,Enterocyte
2581239,5770.0,2552.0,Stroma
2581240,6513.0,1817.0,Stroma
2581241,4943.0,2227.0,Stroma
2581242,5735.0,1724.0,Stroma
2581243,6069.0,1476.0,Stroma
2581244,6618.0,3823.0,Stroma
2581245,1612.0,4860.0,Stroma
2581246,1505.0,6983.0,Enterocyte
2581247,5208.0,4590.0,Stroma
2581248,6435.0,169.0,Stroma
2581249,4541.0,3389.0,Stroma
2581250,5370.0,77.0,Stroma
2581251,6168.0,3166.0,Stroma
2581252,1073.0,6491.0,Enterocyte
2581253,7016.0,2919.0,Stroma
2581254,6958.0,755.0,Stroma
2581255,2011.0,6445.0,Enterocyte
2581256,1922.0,6940.0,Stroma
2581257,1698.0,6254.0,Enterocyte
2581258,9207.0,3888.0,Stroma
2581259,4891.0,3299.0,Stroma
2581260,6218.0,3006.0,Stroma
2581261,2635.0,3013.0,Stroma
2581262,7853.0,2339.0,Stroma
2581263,1902.0,7052.0,Enterocyte
2581264,605.0,5034.0,Enterocyte
2581265,3314.0,7182.0,Stroma
2581266,1337.0,6701.0,Stroma
2581267,4018.0,3107.0,Stroma
2581268,3746.0,4133.0,Stroma
2581269,8689.0,6782.0,Enterocyte
2581270,3225.0,3805.0,Stroma
2581271,6209.0,3026.0,Stroma
2581272,6330.0,2415.0,Stroma
2581273,4657.0,3633.0,Stroma
2581274,5182.0,2552.0,Stroma
2581275,4842.0,3751.0,Stroma
2581276,5951.0,2443.0,Stroma
2581277,3017.0,7612.0,Stroma
2581278,5561.0,1785.0,Stroma
2581279,5825.0,1246.0,Stroma
2581280,6092.0,1467.0,Stroma
2581281,6845.0,1110.0,Stroma
2581282,5335.0,4114.0,Stroma
2581283,1642.0,1955.0,Enterocyte
2581284,3958.0,2355.0,Stroma
2581285,1856.0,6503.0,Stroma
2581286,5266.0,3405.0,Stroma
2581287,5964.0,1525.0,Stroma
2581288,6420.0,2859.0,Stroma
2581289,2226.0,2786.0,Stroma
2581290,5903.0,2498.0,Stroma
2581291,8662.0,4508.0,Stroma
2581292,6041.0,3543.0,Stroma
2581293,3912.0,2347.0,Stroma
2581294,9261.0,6845.0,Stroma
2581295,5096.0,4654.0,Stroma
2581296,6226.0,1980.0,Stroma
2581297,4814.0,889.0,Stroma
2581298,1787.0,6611.0,Stroma
2581299,4344.0,2352.0,Stroma
2581300,3544.0,2691.0,Stroma
2581301,1523.0,1954.0,Enterocyte
2581302,1137.0,6474.0,Stroma
