id,x,y,cell_type
2056050,1177.0,1383.0,DC
2056051,7539.0,9030.0,DC
2056052,7289.0,8151.0,DC
2056053,993.0,915.0,DC
2056054,7249.0,8180.0,DC
2056055,6145.0,5663.0,DC
2056056,7056.0,6005.0,DC
2056057,3000.0,2768.0,DC
2056058,7298.0,8159.0,DC
2056059,2369.0,2070.0,DC
2056060,6863.0,7832.0,DC
2056061,7155.0,7665.0,DC
2056062,6273.0,4903.0,DC
2056063,3236.0,3125.0,DC
2056064,7081.0,5982.0,DC
2056065,7525.0,3987.0,DC
2056066,6889.0,4247.0,DC
2056067,3354.0,7703.0,DC
2056068,7282.0,3117.0,DC
2056069,6501.0,4747.0,DC
2056070,6139.0,627.0,DC
2056071,5097.0,6497.0,DC
2056072,6858.0,2798.0,DC
2056073,7051.0,968.0,DC
2056074,6514.0,4715.0,DC
2056075,5689.0,6807.0,DC
2056076,43.0,89.0,CD4+ T cell
2056077,3931.0,3488.0,Stroma
2056078,1200.0,1451.0,Stroma
2056079,2444.0,1966.0,Stroma
2056080,6526.0,5940.0,M2 Macrophage
2056081,1434.0,94.0,Stroma
2056082,4619.0,3333.0,CD4+ T cell
2056083,4145.0,3496.0,M1 Macrophage
2056084,4627.0,3310.0,M1 Macrophage
2056085,2930.0,2241.0,Stroma
2056086,7446.0,8534.0,M2 Macrophage
2056087,3262.0,1755.0,M1 Macrophage
2056088,4792.0,3668.0,M1 Macrophage
2056089,6094.0,4431.0,Plasma
2056090,5815.0,4794.0,CD4+ T cell
2056091,4591.0,3593.0,Stroma
2056092,6624.0,5658.0,CD4+ T cell
2056093,4232.0,3601.0,M2 Macrophage
2056094,5258.0,4439.0,Stroma
2056095,648.0,3913.0,M1 Macrophage
2056096,7561.0,6865.0,Stroma
2056097,4057.0,7148.0,Stroma
2056098,6380.0,5168.0,M1 Macrophage
2056099,5065.0,4171.0,CD4+ T cell
2056100,6488.0,5479.0,Plasma
2056101,868.0,973.0,M1 Macrophage
2056102,1159.0,776.0,Stroma
2056103,2842.0,5079.0,CD4+ T cell
2056104,7391.0,8714.0,M1 Macrophage
2056105,6837.0,7357.0,Stroma
2056106,6139.0,7295.0,M2 Macrophage
2056107,2980.0,2863.0,M1 Macrophage
2056108,1197.0,1368.0,CD4+ T cell
2056109,5717.0,4969.0,Stroma
2056110,1835.0,3221.0,Stroma
